	dimension 1	dimension 2
1001700601_A2	20.034573	10.558477
1001700601_A4	14.239581	0.22616908
1001700601_A6	36.25665	16.345642
1001700601_A8	18.830437	27.432535
1001700601_B3	51.53582	9.497739
1001700601_B7	18.939692	-31.327974
1001700601_B8	17.878073	-17.446693
1001700601_B10	46.6233	3.6408687
1001700601_B13	38.026352	-2.1517587
1001700601_C8	44.798225	-27.451717
1001700601_D3	-1.3581188	40.311142
1001700601_D6	51.11154	0.04366852
1001700601_D9	26.69572	-21.507542
1001700601_D12	20.494852	26.027607
1001700601_D16	21.362371	21.175045
1001700601_D19	-7.149946	36.745457
1001700601_E8	8.3520975	9.904641
1001700601_E13	18.892109	-30.764454
1001700601_E15	52.309505	15.792141
1001700601_E22	-0.24135685	19.319523
1001700601_F3	34.404785	-25.261341
1001700601_F8	24.650293	2.5455608
1001700601_F14	33.80124	14.605608
1001700601_F15	4.337632	15.903702
1001700601_F18	32.972122	5.791769
1001700601_F21	3.7745981	16.06943
1001700601_G2	23.477997	-18.612623
1001700601_G4	-5.537989	-16.802994
1001700601_G7	-2.1219838	-38.71138
1001700601_G12	43.26032	-32.69576
1001700601_G14	27.557617	-9.424286
1001700601_G17	43.177128	-21.815245
1001700601_G20	14.49524	34.762474
1001700601_H3	-10.664556	26.281477
1001700601_I3	27.064692	21.429811
1001700601_I7	33.755077	-24.290335
1001700601_I15	16.909447	26.126411
1001700601_I21	20.752386	-33.450596
1001700601_I22	29.875376	-34.80743
1001700601_J8	41.632637	13.607839
1001700601_J9	-7.312405	33.459934
1001700601_J11	-5.016485	28.755888
1001700601_J12	6.688231	18.29542
1001700601_J13	5.50199	-29.437157
1001700601_J15	6.530645	-34.04302
1001700601_J22	13.996975	3.2986004
1001700601_K3	3.0639987	34.663574
1001700601_K6	13.275567	3.622602
1001700601_K9	30.21381	21.210596
1001700601_K13	-0.68668246	18.031614
1001700601_K14	40.37211	-10.694251
1001700601_K18	-18.756895	18.241617
1001700601_L12	19.306036	-11.189581
1001700601_L14	33.344048	4.795888
1001700601_L19	19.305767	32.0926
1001700601_M9	28.351654	14.613508
1001700601_M13	24.607649	-11.380281
1001700601_M15	21.636652	-37.196823
1001700601_M20	-6.9668126	24.322094
1001700601_N8	-9.660563	4.379578
1001700601_N12	41.035946	5.808503
1001700601_N17	39.052303	25.546337
1001700601_N19	22.687944	-36.051857
1001700601_N22	-25.637493	28.48949
1001700601_O3	30.78952	-21.76796
1001700601_O5	54.56463	-17.084753
1001700601_O7	51.875366	-15.939182
1001700601_O10	43.053432	-27.394423
1001700601_O14	46.397385	-13.924615
1001700601_O16	6.51766	27.342953
1001700601_O17	45.884235	-24.781498
1001700601_O19	20.46827	-4.4179163
