	dimension 1	dimension 2
1001700602_A1	-37.006264	7.720114
1001700602_A6	-19.246593	-24.536854
1001700602_A8	-33.61798	6.4250965
1001700602_A18	-21.820671	-18.856205
1001700602_B1	-13.564871	-15.054493
1001700602_B2	-27.206518	-21.462854
1001700602_B4	-12.738082	-2.5436845
1001700602_B6	-1.6231195	-23.866968
1001700602_B8	-0.9527306	-23.20283
1001700602_B9	-5.7745934	-41.383408
1001700602_B12	-6.9854927	-24.270313
1001700602_C8	10.916202	-29.386362
1001700602_C9	-9.762761	-14.080739
1001700602_C10	-6.118374	-40.63326
1001700602_C18	-19.419632	-33.402077
1001700602_C21	-33.97426	-22.188425
1001700602_D7	4.054532	7.6794505
1001700602_D9	5.5889826	12.230065
1001700602_D10	-10.195747	6.4865828
1001700602_D11	4.667271	-20.61188
1001700602_D12	-10.647352	-24.499529
1001700602_D16	-4.2526655	-21.019733
1001700602_D17	-27.643179	-12.347431
1001700602_D18	-6.9143696	-19.933502
1001700602_E3	-20.34083	-32.59724
1001700602_E7	3.3087027	-21.156612
1001700602_E8	-16.519768	-32.67865
1001700602_E13	-9.22957	-24.046862
1001700602_E14	-6.1559615	2.9444938
1001700602_E16	-30.88358	-28.300676
1001700602_E20	-23.257898	-44.427006
1001700602_F4	-16.387625	17.24572
1001700602_F7	-30.149858	-39.40792
1001700602_F10	-13.18824	-9.433121
1001700602_F11	-10.070845	-18.459282
1001700602_F12	-30.974483	1.612871
1001700602_F13	-29.397839	-11.93449
1001700602_F15	-2.1624072	-20.40292
1001700602_F18	4.8104672	-18.463005
1001700602_F20	-9.014079	-16.877869
1001700602_F21	-31.076887	-22.621948
1001700602_F22	-34.256042	0.96483904
1001700602_G3	-21.900122	-28.070997
1001700602_G8	11.182711	12.247346
1001700602_G13	3.6345975	7.87768
1001700602_G14	-17.33777	2.8884468
1001700602_G19	-9.147959	0.8038908
1001700602_G22	-6.8364315	-39.264904
1001700602_I4	-25.599695	-16.945969
1001700602_I9	-9.610038	10.980053
1001700602_I10	-21.604347	-31.767462
1001700602_I11	-44.381042	2.2594306
1001700602_I15	-7.2714114	-18.13589
1001700602_I17	8.525479	-23.176878
1001700602_I18	-1.6192297	-19.84416
1001700602_I19	-39.92465	-22.752901
1001700602_I20	-2.9430676	-9.784559
1001700602_I21	-6.3214736	-21.104322
1001700602_J3	-17.231867	-16.9074
1001700602_J10	-28.108635	-16.568962
1001700602_J11	8.69651	-21.334602
1001700602_K3	-9.196648	-35.00356
1001700602_K4	-16.506308	-9.80874
1001700602_K5	-16.749147	-22.781609
1001700602_K9	-31.24164	-19.075285
1001700602_K11	-6.2551484	-27.477776
1001700602_K15	-6.8667703	-28.226587
1001700602_K18	-6.941816	-0.640376
1001700602_K19	-26.63939	5.421602
1001700602_L3	-2.6628287	-23.821732
1001700602_L6	-33.488503	-10.704922
1001700602_L12	-6.8763304	-11.393412
1001700602_L13	-30.324013	-16.082294
1001700602_L15	-7.8870773	-18.541443
1001700602_L16	5.2551446	13.761272
1001700602_L18	-4.9538703	-18.991049
1001700602_L19	-33.824486	-47.79612
1001700602_L20	-32.093987	0.25272587
1001700602_M2	-9.113985	-20.94306
1001700602_M3	-38.813595	-25.263905
1001700602_M5	-9.86479	-24.780148
1001700602_M7	10.201926	-22.812065
1001700602_M10	-9.777785	-14.456217
1001700602_M11	2.323222	23.728994
1001700602_M12	-26.470514	-37.817406
1001700602_M14	4.254679	-25.17192
1001700602_M15	-13.224608	-9.541457
1001700602_M17	-26.630695	-38.661236
1001700602_M19	-20.683521	4.9275985
1001700602_M21	-14.582878	13.257146
1001700602_N4	-11.961557	-19.040125
1001700602_N6	-33.822693	-47.79101
1001700602_N8	-7.4709663	-11.06555
1001700602_N9	-15.423641	-19.553247
1001700602_N11	-41.09851	-35.39818
1001700602_N13	-0.46510372	-42.677208
1001700602_N14	-12.640472	-22.381351
1001700602_N15	-15.618168	2.1802118
1001700602_N16	-8.599738	-4.6160197
1001700602_N18	-28.767193	-19.616817
1001700602_N21	-38.235996	-18.91807
1001700602_N22	-14.760899	12.112892
1001700602_O3	-8.658128	-19.622238
1001700602_O4	-4.570549	-26.785755
1001700602_O6	-7.061558	-15.810957
1001700602_O8	9.446191	-24.786251
1001700602_O10	-9.40827	6.558205
1001700602_O12	-34.910267	-23.850826
1001700602_O13	-4.027781	-9.269697
1001700602_O14	16.787617	19.651617
1001700602_O16	-9.840387	16.072073
1001700602_O17	-7.602964	-24.148085
1001700602_O18	-25.793182	-30.310333
1001700602_P8	-24.799828	-37.005993
1001700602_P14	-8.73709	-23.082722
1001700602_P16	-30.20655	-35.67453
1001700602_P17	-3.2182634	-33.137356
1001700602_P18	-0.83373255	-1.311161
1001700602_P19	-38.29537	-25.462801
1001700603_A1	-34.045284	32.60405
1001700603_A2	-15.580746	17.406809
1001700603_A4	-40.291523	-25.478176
1001700603_A6	0.086076826	-14.700161
1001700603_A7	-29.346695	-25.047606
1001700603_A9	-34.710327	-27.87206
1001700603_A11	-14.825692	-4.494944
1001700603_A16	9.3068	-30.836313
1001700603_A17	-1.7446193	9.070019
1001700603_A19	1.3932818	-37.342804
1001700603_A22	-20.878677	-10.948498
1001700603_B1	-38.594364	-28.447783
1001700603_B4	-0.3004538	-19.580137
1001700603_B6	-11.871031	-6.6247606
1001700603_B8	-1.8588523	-29.54519
1001700603_B10	-1.7399621	13.603572
